hardware,count,nz_time,resid_time,jac_time,fact_time,triang_time,mult_time,tot_time
loc_GPU,1,5.8825e+00,1.0756e-02,4.6634e-01,5.1232e+00,6.587e-04,6.470e-03,5.5895
loc_CPU,1,5.0349e+00,2.2150e-01,2.4742e+00,1.5502e+01,4.0605e-01,0,0
loc_CPU,4,3.1445e-01,6.0869e-02,6.2595e-01,1.1506e+01,2.3064e-01,0,0
loc_CPU,8,1.0302e-01,2.9947e-02,3.5171e-01,8.8974e+00,2.4101e-01,0,0
NAS_CPU,1,1.9485e+00,3.6607e-01,3.6416e+00,2.1521e+01,6.2576e-01,2.8234e-2,26.2
NAS_CPU,4,2.1504e-01,1.0211e-01,9.9248e-01,1.7820e+01,3.0336e-01,1.7807e-2,19.23
NAS_CPU,8,8.7879e-02,5.1679e-02,5.0222e-01,1.2469e+01,2.2578e-01,5.4014e-3,13.25
NAS_CPU,16,4.0396e-02,2.5482e-02,2.5306e-01,6.0712e+00,1.2886e-01,3.7997e-3,6.482
NAS_CPU,32,1.9416e-02,1.2927e-02,1.3119e-01,3.7069e+00,7.8103e-02,2.2068e-3,3.9313
NAS_CPU,64,9.9039e-03,6.3949e-03,6.3446e-02,2.7539e+00,7.5725e-02,1.0514e-3,2.9005